ID_LIEU,CODE_POSTAL,VILLE,DEPARTEMENT,REGION,PAYS,LATITUDE,LONGITUDE
231,1350,Ceyzérieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.83257601063833,5.71168324468085
232,1350,Anglefort,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.91937534246575,5.78904205479452
233,1360,Bressolles,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.8716694160584,5.1005599270073
234,1360,Béligneux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.86536266055046,5.13276064220184
235,1360,Loyettes,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.79233232558139,5.20501418604651
236,1360,Balan,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.82999739726026,5.10215657534246
237,1370,Bény,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.32148171428572,5.28474961904762
238,1370,Val-Revermont,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.27402393188851,5.36047829721363
239,1370,Meillonnas,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.24784205128204,5.32912162393162
240,1370,Saint-Étienne-du-Bois,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.27508734375,5.28916484375
241,1370,Courmangoux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.32612062240666,5.35043004149378
242,1380,Saint-Genis-sur-Menthon,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.28185601265824,5.01318683544304
243,1380,Saint-Cyr-sur-Menthon,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.27366670103091,4.96571386597938
244,1380,Bâgé-le-Châtel,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.30790644444445,4.92956755555556
245,1380,Boissey,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.3812,4.996962
246,1380,Bâgé-Dommartin,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.32233749999998,4.957910975
247,1380,Saint-André-de-Bâgé,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.29924897435898,4.91489641025641
248,1390,Saint-André-de-Corcy,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.9229754887218,4.95111691729323
249,1390,Tramoyes,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.87483658227848,4.97328151898734
250,1390,Rancé,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.97103185185185,4.86745981481482
251,1390,Mionnay,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.90012241071427,4.93147151785714
252,1390,Saint-Marcel,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.94904343283581,4.98802552238806
253,1390,Monthieux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.96384388235293,4.94231164705882
254,1390,Saint-Jean-de-Thurigneux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.95559697674419,4.90843581395349
255,1390,Civrieux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.91815421052633,4.88479473684211
256,1400,Sulignat,Calvados,Normandie,France,46.17491182320443,4.95645651933702
257,1400,Châtillon-sur-Chalaronne,Calvados,Normandie,France,46.12124020833335,4.9594278125
258,1400,Condeissiat,Calvados,Normandie,France,46.15212268750001,5.087552125
259,1400,Chanoz-Châtenay,Calvados,Normandie,France,46.18723038216559,5.02708350318471
260,1400,Neuville-les-Dames,Calvados,Normandie,France,46.15857711442787,5.00700582089552
261,1400,Sandrans,Calvados,Normandie,France,46.06904535315985,4.97822918215613
262,1400,Dompierre-sur-Chalaronne,Calvados,Normandie,France,46.14391727941179,4.90061426470588
263,1400,Romans,Calvados,Normandie,France,46.12113156097558,5.01810292682927
264,1400,L\'Abergement-Clémenciat,Calvados,Normandie,France,46.15678199203189,4.92469920318725
265,1400,Saint-Georges-sur-Renon,Calvados,Normandie,France,46.10366440366973,5.02947935779816
266,1410,Mijoux,Calvados,Normandie,France,46.366475,5.996778
267,1410,Champfromier,Calvados,Normandie,France,46.22061864197534,5.82427413580247
268,1410,Lélex,Calvados,Normandie,France,46.28966835051546,5.92451628865979
269,1410,Chézery-Forens,Calvados,Normandie,France,46.223054,5.868303
270,1420,Seyssel,Calvados,Normandie,France,45.95024666666666,5.82803090909091
271,1420,Corbonod,Calvados,Normandie,France,45.97241277372262,5.78800160583942
272,1420,Lhôpital,Calvados,Normandie,France,46.02503291666665,5.766591875
273,1420,Chanay,Calvados,Normandie,France,46.00190060344828,5.77951827586207
274,1420,Surjoux,Calvados,Normandie,France,46.03215631578948,5.79776407894737
275,1430,Lantenay,Calvados,Normandie,France,46.05707370786517,5.53902235955056
276,1430,Condamine,Calvados,Normandie,France,46.10454308411215,5.55825280373832
277,1430,Maillat,Calvados,Normandie,France,46.11885940000002,5.53182906666667
278,1430,Ceignes,Calvados,Normandie,France,46.12294070588234,5.49456952941176
279,1430,Vieu-d\'Izenave,Calvados,Normandie,France,46.08600923076923,5.54680810650887
280,1430,Chevillard,Calvados,Normandie,France,46.10914873417722,5.57923316455696
281,1430,Peyriat,Calvados,Normandie,France,46.14735705882352,5.51122558823529
282,1430,Saint-Martin-du-Frêne,Calvados,Normandie,France,46.13791208955224,5.56071880597015
283,1430,Outriaz,Calvados,Normandie,France,46.06756769230772,5.55225186813187
284,1430,Izenave,Calvados,Normandie,France,46.03986554545454,5.52382563636364
285,1440,Viriat,Calvados,Normandie,France,46.25152432276658,5.22261115273776
286,1450,Bolozon,Calvados,Normandie,France,46.19633808988762,5.46744573033708
